article_id,category,title,date,content,summary,source_url,source_name,company_tag,keywords,collected_at,has_null,is_duplicate_seed,data_origin
rss_951386,시장동향,"오픈AI, 앤트로픽 '클로드'에 뚫렸다...핵심 코드 저장소까지 노출 - AI타임스",2026-09-18,"오픈AI, 앤트로픽 '클로드'에 뚫렸다...핵심 코드 저장소까지 노출  AI타임스","오픈AI, 앤트로픽 '클로드'에 뚫렸다...핵심 코드 저장소까지 노출  AI타임스",https://news.google.com/rss/articles/CBMiakFVX3lxTE9IYnFiNjdySHZvRFQ2eWFQcVlNbDRWdE5IQk5fSGFDY2p1WGtsY0k5eWdqQ3VMSy1zZ2JvOE1pUHBkVFdzbWhScnpDZEE4ZENSX0pMd1JKcHVEbUp2TjRMWFFIWVNBdGo5VGc?oc=5,AI타임스,AI,AI,2026-09-19 14:34:20,N,N,rss_crawl
rss_079850,시장동향,"""앤트로픽 클로드로 오픈AI 뚫었다""…약점 찾자 72시간내 침투 - 연합뉴스",2026-09-18,"""앤트로픽 클로드로 오픈AI 뚫었다""…약점 찾자 72시간내 침투  연합뉴스","""앤트로픽 클로드로 오픈AI 뚫었다""…약점 찾자 72시간내 침투  연합뉴스",https://news.google.com/rss/articles/CBMiW0FVX3lxTE9OdXpIODBpeW9TNGtDMHItYjk5Zk9oaVJBMEdBR0p0UTFzcWhYaElzRUFpRjd1UV9FMVFmdzJYalRVbkt6S3VEMFpjWTh3cXh6Nkp4WHYyMEt1VDjSAWBBVV95cUxQbUtJTm5sTGk2U0dER3ZDLVRVWHc0UFZQX3JVMjFEQmtrSjVzZU51TGpXSV82NkRMV0ZzTzVpUm93YTJPMEhENEVnLWhGajVsSmFBSDZnWWlUbGVNeVU0VEU?oc=5,연합뉴스,AI,AI,2026-09-19 14:34:20,N,N,rss_crawl
rss_897700,시장동향,"AI 위험성, 어느 수준이길래…“인간 속이고 제멋대로 안전장치 뚫어"" - 데일리안",2026-09-18,"AI 위험성, 어느 수준이길래…“인간 속이고 제멋대로 안전장치 뚫어""  데일리안","AI 위험성, 어느 수준이길래…“인간 속이고 제멋대로 안전장치 뚫어""  데일리안",https://news.google.com/rss/articles/CBMijgJBVV95cUxPZXFRX05iWk1DRHc0MEwtejdYNVhxY1N2RG56dGpsVVU5enRGT2JidEJycnE1Qko4d3hNSVFJMXI1YWtwQnZocXdvSHJYU1NoVk1fYlAtTERhZENIQTk0TlA1bksySFJ1M1pyWHBIV0MwUG9VUk5hVjB0ZXlJWDBtUm9qb1dhZ2NaUEhKRnRRaUM3SUV4SkJ5WHVPRmoyNm9taDdkcDlfRUZzTGprdGxSR19yT1ktLU1uWGo3QmQ1QUl1U1gtNS0tejh1eFlBSU1fS2lGTklFYktFcjFKVVNTT2RQZ1V3bFlZUDZackIwdks4YXhSTF92LWlab0hRNUFmdVBuSHBlb2JHOC1MekE?oc=5,데일리안,AI,AI,2026-09-19 14:34:20,N,N,rss_crawl
rss_921985,시장동향,세계를 달군 AI 속도조절론…빅테크끼리 첨예한 '패권 내전' 양상 - 머니투데이 - mt.co.kr,2026-09-18,세계를 달군 AI 속도조절론…빅테크끼리 첨예한 '패권 내전' 양상 - 머니투데이  mt.co.kr,세계를 달군 AI 속도조절론…빅테크끼리 첨예한 '패권 내전' 양상 - 머니투데이  mt.co.kr,https://news.google.com/rss/articles/CBMiaEFVX3lxTE1jWENfYVU1VW9ERDN2SXhaM2xqNHR1U0hhdVFXeU1pR1dOVUNBZEtGdW91N1pfTlFCdlNZbUxWSTlTU2lKTEEwNHdwWjNBYWRXb2M4Q3dhM2x5amRxS05PSmN4M1VGOVAx0gFuQVVfeXFMT1hHYm5Ua1hRTGpyaGpVNTJHTF9MVDFPV3Y0VnFmSXVWMzBrUGJ4MFpKdUNMa1FTVzBUNm9wMDhHNkh1Z21hS1ZDQXJ4d3VId1U5aUIyN2VJREFUa0oxR3F3SC1HTXhCbWpSOEtRalE?oc=5,mt.co.kr,AI,AI,2026-09-19 14:34:20,N,N,rss_crawl
rss_481491,시장동향,"젠슨황·저커버그·머스크, 트럼프 설득해 AI규제기구 무산 - 연합뉴스",2026-09-17,"젠슨황·저커버그·머스크, 트럼프 설득해 AI규제기구 무산  연합뉴스","젠슨황·저커버그·머스크, 트럼프 설득해 AI규제기구 무산  연합뉴스",https://news.google.com/rss/articles/CBMiW0FVX3lxTFAtdzJSQmw0QS1NTkh4bk0xd21meVRyYzBUaDk4NDBIQzlCMFZyNExXRXJpckduSDVhcnpEMDlmZHNJcURtcFI5R1RINFM0eVA0SWJqa21icDZ1d1nSAWBBVV95cUxQWm5abGZPc2twZnNoMDlxZTd6OHREUU1VT085QlRtRVUyNHozU3g5dkRiSnhobmRZVnRYSi1vdzhwcVJzYkVEaTQ3cWlIMVNPQWh5ZmVzYXY4d3NscnVJQ28?oc=5,연합뉴스,AI,AI,2026-09-19 14:34:20,N,N,rss_crawl
rss_179697,시장동향,‘딥러닝 노벨상’ 힌턴 “AI 통제 남은시간 1년” - 동아일보,2026-09-18,‘딥러닝 노벨상’ 힌턴 “AI 통제 남은시간 1년”  동아일보,‘딥러닝 노벨상’ 힌턴 “AI 통제 남은시간 1년”  동아일보,https://news.google.com/rss/articles/CBMidEFVX3lxTE9qb3c1c18zTjRSUGpGZEhPMnNudkdZM2lRQjRqaFZ1MG4zRnhHVGoyYWhGN2lPTWZmWVE5cnYwMzFnMl9EeG9MTmtRd21MU2xLMW5QejcybU8xdjIyNzVaWVRjaHl6cGNGQ19XNExBRFY4enBt0gFmQVVfeXFMTVY5aG5UN1o3UTg5MFFYTHAzSjU2R083dllNOGp0cGN3ZjlmOXVkMlB3TWFxWW5SeEI5TjRRZzdfYkRpVktVcUhEb1BDd3NKeWlnNm43SzJFVzBrTmwyQ1VtUm42VHJB?oc=5,동아일보,AI,AI,2026-09-19 14:34:20,N,N,rss_crawl
rss_847764,시장동향,[안광섭 AI 진테제] AI 데이터센터 본질...복잡한 4각 함수 - 지디넷코리아,2026-09-19,[안광섭 AI 진테제] AI 데이터센터 본질...복잡한 4각 함수  지디넷코리아,[안광섭 AI 진테제] AI 데이터센터 본질...복잡한 4각 함수  지디넷코리아,https://news.google.com/rss/articles/CBMiVkFVX3lxTE1jZFR1ek5Ub2c2dlhKTHhkZUpuN0E3M0RoSjhLb1BWTzUwVzBORHRfQ05jbGFoeFAyXzFiT0RGcGwtLXRNdDRmZW9Hd00zWnBjNUtFeFZB?oc=5,지디넷코리아,AI,AI,2026-09-19 14:34:20,N,N,rss_crawl
rss_814015,시장동향,"미국서 미움받는 AI데이터센터, 호주로 몰렸더니…호주도 비상, 왜 - 중앙일보",2026-09-18,"미국서 미움받는 AI데이터센터, 호주로 몰렸더니…호주도 비상, 왜  중앙일보","미국서 미움받는 AI데이터센터, 호주로 몰렸더니…호주도 비상, 왜  중앙일보",https://news.google.com/rss/articles/CBMiVkFVX3lxTFA4YWdTSC1MWDFJZ0tWNVk0WUtUR1dldWstSU9tNmU0dHRzSE5BRGtWSGhvZHNLMnI0S1VwM1pOZ293bzJacWRqLUZ0ODZZam1tcVhCb0RR?oc=5,중앙일보,AI,AI,2026-09-19 14:34:20,N,N,rss_crawl
rss_174485,시장동향,AI 데이터센터 기대만발...건설주 투자해도 될까 - v.daum.net,2026-09-19,AI 데이터센터 기대만발...건설주 투자해도 될까  v.daum.net,AI 데이터센터 기대만발...건설주 투자해도 될까  v.daum.net,https://news.google.com/rss/articles/CBMiT0FVX3lxTE4tQ3BDOVlMd0xxa3ctVnZSWDZSQjBMU1k2OExDWFBMaUJVT01SbG5Bb0pxZC1tamNIM0xHX0FQV1hUSDVCMmktNVFVWUF1Z2s?oc=5,v.daum.net,AI,AI,2026-09-19 14:34:20,N,N,rss_crawl
rss_940878,시장동향,"휴대폰 요금 받던 SKT, AI 시대엔 '서버 월세' 받는다[주末머니] - v.daum.net",2026-09-19,"휴대폰 요금 받던 SKT, AI 시대엔 '서버 월세' 받는다[주末머니]  v.daum.net","휴대폰 요금 받던 SKT, AI 시대엔 '서버 월세' 받는다[주末머니]  v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE4tdGFVcXF0TzZUcDRveFowOGstdGw2dHR1WlFIT3ZHTnlvejFUTUVtUUZET0VoNDVUTno1TXZxM1Vqc3FsVmxFSW1XSi1GWTg?oc=5,v.daum.net,AI,AI,2026-09-19 14:34:20,N,N,rss_crawl
rss_269786,시장동향,"삼성, 북미 AI 수장에 스탠퍼드 석학…‘피지컬 AI’ 직진 - 서울경제",2026-09-19,"삼성, 북미 AI 수장에 스탠퍼드 석학…‘피지컬 AI’ 직진  서울경제","삼성, 북미 AI 수장에 스탠퍼드 석학…‘피지컬 AI’ 직진  서울경제",https://news.google.com/rss/articles/CBMiUkFVX3lxTE9mVW9sbi1DQkRNTU92ajNWOHRsc2FZZ0xtbFNiQmQzYTRiMHRqN2Y1UjFrOGtKc0RTUlp6cC0ydFpXeDh1bnpuT0QtcGVtYUV6ckHSAVNBVV95cUxQS3Itdnc0SzRSeVpWejJFVlVtaVl5QVllUWE0R0NMS2F4MHg4Yk1seUF2bUtPdVlVd2dHTlhTYlhFWkpZQmk1N1lYX1Iwb0xPc25hRQ?oc=5,서울경제,AI,AI,2026-09-19 14:34:20,N,N,rss_crawl
